
run_date,station,forecast_high_f
2023-09-10,KSFO,70
2023-09-11,KSFO,72
2023-09-12,KSFO,73
2023-09-13,KSFO,73
2023-09-14,KSFO,73
2023-09-15,KSFO,73
2023-09-16,KSFO,72
2023-09-17,KSFO,71
2023-09-18,KSFO,74
2023-09-19,KSFO,71
2023-09-20,KSFO,71
2023-09-21,KSFO,71
2023-09-22,KSFO,70
2023-09-23,KSFO,69
2023-09-24,KSFO,71
2023-09-25,KSFO,71
2023-09-26,KSFO,75
2023-09-27,KSFO,72
2023-09-28,KSFO,72
2023-09-29,KSFO,70
2023-09-30,KSFO,70
2023-10-01,KSFO,74
2023-10-02,KSFO,79
2023-10-03,KSFO,79
2023-10-04,KSFO,79
2023-10-05,KSFO,82
2023-10-06,KSFO,83
2023-10-07,KSFO,81
2023-10-08,KSFO,69
2023-10-09,KSFO,70
2023-10-10,KSFO,69
2023-10-11,KSFO,70
2023-10-12,KSFO,70
2023-10-13,KSFO,70
2023-10-14,KSFO,72
2023-10-15,KSFO,74
2023-10-16,KSFO,77
2023-10-17,KSFO,78
2023-10-18,KSFO,80
2023-10-19,KSFO,79
2023-10-20,KSFO,67
2023-10-21,KSFO,68
2023-10-22,KSFO,68
2023-10-23,KSFO,69
2023-10-24,KSFO,65
2023-10-25,KSFO,66
2023-10-26,KSFO,65
2023-10-27,KSFO,69
2023-10-28,KSFO,68
2023-10-29,KSFO,73
2023-10-30,KSFO,70
2023-10-31,KSFO,69
2023-11-01,KSFO,69
2023-11-02,KSFO,70
2023-11-03,KSFO,72
2023-11-04,KSFO,68
2023-11-05,KSFO,65
2023-11-06,KSFO,67
2023-11-07,KSFO,64
2023-11-08,KSFO,64
2023-11-09,KSFO,63
2023-11-10,KSFO,63
2023-11-11,KSFO,65
2023-11-12,KSFO,64
2023-11-13,KSFO,63
2023-11-14,KSFO,63
2023-11-15,KSFO,64
2023-11-16,KSFO,65
2023-11-17,KSFO,63
2023-11-18,KSFO,63
2023-11-19,KSFO,63
